name.firstName,name.lastName,age,address.line1,address.line2,address.city,address.state,gender
Rohit,Prasad,20,A-305 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,21,A-306 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,22,A-307 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,23,A-308 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,24,A-309 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,25,A-310 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,26,A-311 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,27,A-312 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,28,A-313 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,29,A-314 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,30,A-315 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,31,A-316 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,32,A-317 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,33,A-318 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,34,A-319 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,35,A-320 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,36,A-321 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,37,A-322 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,38,A-323 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,39,A-324 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,40,A-325 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,41,A-326 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,42,A-327 Rakshak society,New Pune road,Pune,Maharashtra,male
Rohit,Prasad,43,A-328 Rakshak society,New Pune road,Pune,Maharashtra,male
